TrainNumber	MoveDate	WagonTypeName	MoveTime	SaleCenterName	Register	TariffName	Price	Ticket,Sold
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,13:57:21	خردسال	341500	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,14:20:6	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,14:20:6	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,15:28:10	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,15:28:10	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,15:28:10	خردسال	341500	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,15:28:10	خردسال	341500	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,سه	1398/02/13,15:30:34	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,هشت	1398/02/13,15:30:51	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,15:32:46	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,15:32:47	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,چهار	1398/02/13,15:38:23	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,15:38:50	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,هفت	1398/02/13,15:45:40	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,هفت	1398/02/13,15:45:40	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,سه	1398/02/13,15:56:7	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,هشت	1398/02/13,16:6:9	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,هشت	1398/02/13,16:6:9	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,هشت	1398/02/13,16:6:9	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,7:13:28	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,7:13:28	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	راه,پرواز,شش	1398/02/13,8:36:40	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,سه	1398/02/13,9:29:47	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,سه	1398/02/13,9:29:47	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	تامين,سه	1398/02/13,9:29:47	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,9:33:40	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,9:33:40	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,9:33:41	تمام	632000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اينترنت	1398/02/13,9:33:41	كسر,كوپه	632000	
