TrainNumber;MoveDate;WagonTypeName;MoveTime;SaleCenterName;Register;TariffName;Price;Ticket Sold
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Å‰Ã;1398/02/13 13:20:28; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Å‰Ã;1398/02/13 13:20:28; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Å‰Ã;1398/02/13 13:44:48; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Å‰Ã;1398/02/13 13:44:48; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/13 13:49:53; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ ”Â;1398/02/13 13:50:35;‘«Âœ;341500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 13:57:21; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 13:57:21;Œ—œ”«·;341500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 14:20:6; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 14:20:6; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 15:28:10; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 15:28:10; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 15:28:10;Œ—œ”«·;341500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 15:28:10;Œ—œ”«·;341500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ ”Â;1398/02/13 15:30:34; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Â‘ ;1398/02/13 15:30:51; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 15:32:46; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 15:32:47; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ çÂ«—;1398/02/13 15:38:23; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 15:38:50; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ Â› ;1398/02/13 15:45:40; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ Â› ;1398/02/13 15:45:40; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ ”Â;1398/02/13 15:56:7; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Â‘ ;1398/02/13 16:6:9; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Â‘ ;1398/02/13 16:6:9; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ Â‘ ;1398/02/13 16:6:9; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 7:13:28; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 7:13:28; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—«Â Å—Ê«“ ‘‘;1398/02/13 8:36:40; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ ”Â;1398/02/13 9:29:47; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ ”Â;1398/02/13 9:29:47; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ ”Â;1398/02/13 9:29:47; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 9:33:40; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 9:33:40; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 9:33:41; „«„;632000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/13 9:33:41;ﬂ”— ﬂÊÅÂ;632000;
